symbol,timeframe,fast,slow,stop_loss_pct,trades,net_return,max_drawdown,avg_monthly_return,worst_month,reason,is_accepted
SOLUSDT,15m,6,28,0.015,192,0.0480275993781276,-0.1441366848371452,0.0861237741033291,0.0861237741033291,,True
SOLUSDT,15m,8,25,0.02,184,0.0785583979054631,-0.0822620063457117,0.0350391425464668,0.0350391425464668,,True
SOLUSDT,5m,6,23,0.005,667,-0.8272029023781898,-0.8391993183642127,-0.165925695167414,-0.165925695167414,avg_monthly_return<2.00%;max_drawdown>30%;worst_month<-10%,False
SOLUSDT,5m,12,32,0.008,420,-0.1683488239646747,-0.3748590034010982,0.0802731617576721,0.0802731617576721,max_drawdown>30%,False
SOLUSDT,5m,3,10,0.005,1564,-0.9877836650763828,-0.9881276799824972,-0.7738896516410081,-0.7738896516410081,avg_monthly_return<2.00%;max_drawdown>30%;worst_month<-10%,False
SOLUSDT,5m,3,27,0.005,788,-0.8082500910101053,-0.8243267485112645,-0.1364499972056341,-0.1364499972056341,avg_monthly_return<2.00%;max_drawdown>30%;worst_month<-10%,False
SOLUSDT,5m,7,31,0.015,486,-0.0534934007951831,-0.2122159444656184,0.031244424558551,0.031244424558551,,True
SOLUSDT,5m,5,38,0.008,466,-0.024865796318007,-0.3747722570139348,0.1679553745580662,0.1679553745580662,max_drawdown>30%,False
SOLUSDT,15m,9,18,0.005,252,-0.1289972711993421,-0.4338807878709756,0.2457982417496387,0.2457982417496387,max_drawdown>30%,False
SOLUSDT,1m,18,45,0.015,1574,-0.6810116272870891,-0.6837414908976004,-0.303964211938095,-0.303964211938095,avg_monthly_return<2.00%;max_drawdown>30%;worst_month<-10%,False
SOLUSDT,5m,3,12,0.005,1396,-0.9764362719293824,-0.977190541332514,-0.7161025264217016,-0.7161025264217016,avg_monthly_return<2.00%;max_drawdown>30%;worst_month<-10%,False
SOLUSDT,5m,8,36,0.005,406,-0.7028033954838486,-0.7187775516319552,-0.2798024487568959,-0.2798024487568959,avg_monthly_return<2.00%;max_drawdown>30%;worst_month<-10%,False
SOLUSDT,5m,6,37,0.008,446,-0.0834068227018535,-0.3622892578036673,0.1069424450720955,0.1069424450720955,max_drawdown>30%,False
SOLUSDT,5m,7,24,0.008,619,-0.448895703793689,-0.4787518603551099,-0.0642594980161396,-0.0642594980161396,avg_monthly_return<2.00%;max_drawdown>30%,False
SOLUSDT,15m,4,35,0.02,201,0.0827237532895253,-0.0891510038534185,0.0662338751008992,0.0662338751008992,,True
SOLUSDT,1m,5,15,0.008,5022,-0.9994918750852944,-0.9994935937174096,-0.8804892341797912,-0.8804892341797912,avg_monthly_return<2.00%;max_drawdown>30%;worst_month<-10%,False
SOLUSDT,1m,20,55,0.008,1310,-0.8189258253275735,-0.822189821757592,-0.4694966256472187,-0.4694966256472187,avg_monthly_return<2.00%;max_drawdown>30%;worst_month<-10%,False
